City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belyy yar,53.6039,91.3903,264.09,62,0,6.0,RU,1731463967
1,shali,43.1481,45.9019,277.07,90,32,1.4,RU,1731463968
2,avarua,-21.2078,-159.775,297.18,64,40,5.14,CK,1731463970
3,taro,-8.3862,115.28,303.32,48,0,0.92,ID,1731463971
4,shagonar,51.5333,92.8,265.72,55,68,2.08,RU,1731463972
5,imbituba,-28.24,-48.6703,287.92,75,0,3.28,BR,1731463973
6,tralee,52.2704,-9.7026,279.03,82,2,1.44,IE,1731463975
7,samarinda,-0.5,117.15,305.2,59,32,0.57,ID,1731463976
8,kendari,-3.945,122.4989,305.47,54,23,0.8,ID,1731463977
9,caibarien,22.5206,-79.4669,299.52,89,12,4.91,CU,1731463979
10,mogocha,53.7333,119.7667,265.91,82,84,1.09,RU,1731463980
11,bethel,41.3712,-73.414,278.27,53,0,5.66,US,1731463981
12,longyearbyen,78.2186,15.6401,276.06,75,75,14.4,SJ,1731463982
13,grytviken,-54.2811,-36.5092,271.09,79,98,3.9,GS,1731463984
14,yellowknife,62.456,-114.3525,263.94,99,100,4.47,CA,1731463730
15,waitangi,-43.9535,-176.5597,286.94,70,1,4.02,NZ,1731463986
16,olonkinbyen,70.9221,-8.7187,269.62,79,100,14.88,SJ,1731463987
17,sydney,-33.8679,151.2073,297.79,70,75,3.09,AU,1731463385
18,saipan,15.1355,145.701,304.54,78,75,7.72,MP,1731463990
19,edinburgh of the seven seas,-37.0676,-12.3116,289.45,93,100,6.86,SH,1731463993
20,bilibino,68.0546,166.4372,247.58,99,41,0.93,RU,1731463994
21,constantia,44.1833,28.65,277.53,92,100,4.95,RO,1731463995
22,invercargill,-46.4,168.35,289.83,65,1,5.36,NZ,1731463996
23,wailua homesteads,22.0669,-159.378,298.78,77,40,7.72,US,1731463998
24,boden,65.8252,21.6886,276.3,93,100,2.36,SE,1731463999
25,turpan,42.9333,89.1667,282.95,50,93,0.69,CN,1731464000
26,mount gambier,-37.8333,140.7667,291.62,47,24,5.53,AU,1731464001
27,yambio,4.5721,28.3955,293.22,95,100,0.11,SS,1731464003
28,talnakh,69.4865,88.3972,249.68,99,99,1.43,RU,1731464004
29,ushuaia,-54.8,-68.3,279.96,93,20,3.09,AR,1731463715
30,mount pearl,47.5166,-52.7813,286.33,98,100,6.17,CA,1731464006
31,albany,42.6001,-73.9662,275.6,58,5,1.34,US,1731464008
32,aasiaat,68.7098,-52.8699,266.01,76,100,7.8,GL,1731464009
33,tura,25.5198,90.2201,295.51,73,2,1.2,IN,1731464011
34,bredasdorp,-34.5322,20.0403,289.38,82,100,2.84,ZA,1731464012
35,west island,-12.1568,96.8225,301.14,74,100,4.63,CC,1731464013
36,port-aux-francais,-49.35,70.2167,276.66,71,15,8.23,TF,1731464014
37,sao miguel do araguaia,-13.275,-50.1628,296.79,89,71,1.67,BR,1731464016
38,ribeira grande,38.5167,-28.7,289.69,93,85,1.34,PT,1731464017
39,paso de los toros,-32.8167,-56.5167,286.51,52,1,3.32,UY,1731463801
40,puerto natales,-51.7236,-72.4875,283.11,75,91,5.58,CL,1731464019
41,ivatsevichy,52.709,25.3401,271.55,92,48,2.22,BY,1731464021
42,nuuk,64.1835,-51.7216,274.49,80,100,6.71,GL,1731464022
43,vila franca do campo,37.7167,-25.4333,292.38,99,100,4.06,PT,1731464023
44,kapuskasing,49.4169,-82.4331,271.57,89,21,2.71,CA,1731464024
45,saldanha,-33.0117,17.9442,288.86,90,100,9.28,ZA,1731464026
46,east london,-33.0153,27.9116,291.91,72,21,9.76,ZA,1731464027
47,ancud,-41.8697,-73.8203,283.42,94,65,2.96,CL,1731464028
48,newport,51.5877,-2.9984,281.06,87,99,5.14,GB,1731464029
49,bandarbeyla,9.4942,50.8122,298.4,75,2,7.59,SO,1731464031
50,ketchikan,55.3422,-131.6461,280.41,87,100,2.06,US,1731464032
51,salalah,17.0151,54.0924,295.2,68,0,1.54,OM,1731464033
52,puerto ayora,-0.7393,-90.3518,295.12,87,32,2.24,EC,1731464034
53,adamstown,-25.066,-130.1015,294.13,81,100,5.96,PN,1731464036
54,punta arenas,-53.15,-70.9167,283.21,81,75,5.66,CL,1731463937
55,lincoln city,44.9582,-124.0179,283.35,96,100,5.81,US,1731463921
56,margaret river,-33.95,115.0667,294.1,48,70,1.31,AU,1731464039
57,minas de marcona,-15.2119,-75.1103,287.74,75,28,2.53,PE,1731464041
58,vega de alatorre,20.0333,-96.6333,298.04,85,0,2.33,MX,1731464042
59,usogorsk,63.4106,48.6872,273.17,98,100,3.87,RU,1731464043
60,hithadhoo,-0.6,73.0833,301.62,74,95,7.09,MV,1731464044
61,luanda,-8.8368,13.2343,299.15,83,75,4.63,AO,1731463800
62,port elizabeth,-33.918,25.5701,290.31,87,0,8.23,ZA,1731464047
63,butembo,0.15,29.2833,286.73,90,96,1.48,CD,1731464048
64,newman,37.3138,-121.0208,287.02,74,24,0.45,US,1731464049
65,thinadhoo,0.5333,72.9333,301.57,72,100,6.35,MV,1731464051
66,kuanda,56.3161,116.0806,261.25,91,100,2.88,RU,1731464052
67,mejit,10.2753,170.8646,301.72,71,83,6.82,MH,1731464053
68,fort bragg,35.139,-79.006,287.49,64,0,3.6,US,1731464054
69,pangoa,-12.1167,-73.0,293.77,99,97,0.38,PE,1731464056
70,lihue,21.9789,-159.3672,299.12,73,40,7.72,US,1731464057
71,stanley,54.868,-1.6985,275.53,76,54,1.95,GB,1731464058
72,saint-philippe,-21.3585,55.7679,295.97,80,7,3.33,RE,1731464059
73,afaahiti,-17.75,-149.2833,297.04,76,37,7.24,PF,1731464061
74,kodiak,57.79,-152.4072,275.88,44,0,3.6,US,1731464062
75,papatowai,-46.5619,169.4708,289.27,59,4,4.2,NZ,1731464063
76,hammerfest,70.6634,23.6821,283.4,76,100,4.12,NO,1731464064
77,keflavik,64.0049,-22.5624,280.39,76,75,13.38,IS,1731464066
78,carnarvon,-24.8667,113.6333,299.71,52,55,4.71,AU,1731464067
79,sisimiut,66.9395,-53.6735,269.12,72,100,9.12,GL,1731464068
80,saint-pierre,-21.3393,55.4781,295.97,60,40,3.09,RE,1731464069
81,hadyach,50.3711,33.991,271.5,88,46,2.46,UA,1731464071
82,arraial do cabo,-22.9661,-42.0278,295.07,100,40,8.23,BR,1731464072
83,rio verde,21.9333,-99.9833,292.06,86,4,2.02,MX,1731463927
84,iskateley,67.6803,53.1512,266.33,95,100,4.53,RU,1731464074
85,dudinka,69.4058,86.1778,248.22,97,100,3.36,RU,1731464076
86,novohrad-volynskyi,50.5941,27.6165,272.54,85,96,2.51,UA,1731464077
87,selfoss,63.9331,-20.9971,278.17,79,94,9.65,IS,1731464078
88,andovoranto,-18.95,49.1,295.58,90,4,1.09,MG,1731464079
89,chaska,44.7894,-93.6022,279.1,80,6,3.58,US,1731464081
90,son la,21.3167,103.9,296.94,66,7,0.39,VN,1731463807
91,tabas,33.5959,56.9244,289.27,51,67,2.06,IR,1731464083
92,twon-brass,4.3151,6.2418,300.12,81,20,4.48,NG,1731464084
93,vilyuysk,63.7553,121.6247,259.06,96,94,3.29,RU,1731464086
94,el calafate,-50.3408,-72.2768,283.2,74,2,4.5,AR,1731464087
95,oswego,43.4501,-76.1497,276.25,80,3,2.73,US,1731464088
96,pass christian,30.3158,-89.2475,294.28,99,100,4.12,US,1731464090
97,kijang,35.2442,129.2139,291.0,57,89,7.23,KR,1731464091
98,nehe,48.4833,124.8333,273.95,47,5,5.89,CN,1731464092
99,antsiranana,-12.2787,49.2917,297.05,81,24,6.15,MG,1731464093
100,kavaratti,10.5669,72.642,301.64,69,65,2.67,IN,1731464095
101,chernyshevskiy,63.0128,112.4714,260.7,93,100,5.04,RU,1731464096
102,pandan,14.0453,124.1694,300.74,85,100,3.66,PH,1731464097
103,nadi,-17.8,177.4167,303.15,70,40,7.2,FJ,1731464098
104,creston,41.0586,-94.3614,280.13,76,0,6.69,US,1731464100
105,mana,5.6592,-53.7767,299.62,81,23,4.66,GF,1731464101
106,georgetown,5.4112,100.3354,303.11,79,20,3.09,MY,1731464102
107,tazacorte,28.629,-17.9293,292.69,84,0,4.12,ES,1731464104
108,angra dos reis,-23.0067,-44.3181,294.56,98,100,2.28,BR,1731464105
109,tsiombe,-25.3,45.4833,294.1,97,100,1.31,MG,1731464106
110,uturoa,-16.7333,-151.4333,299.47,74,90,7.13,PF,1731464107
111,whitehorse,60.7161,-135.0538,268.58,93,100,1.54,CA,1731464109
112,tolanaro,-25.0319,46.9987,298.19,94,75,0.0,MG,1731464111
113,ilulissat,69.2167,-51.1,270.16,54,75,9.26,GL,1731464112
114,gadzhiyevo,69.2551,33.3362,274.32,91,100,7.67,RU,1731464114
115,khosta,43.5147,39.8689,281.17,76,24,3.0,RU,1731464115
116,vilyuchinsk,52.9306,158.4028,272.3,64,54,5.83,RU,1731464116
117,ust-nera,64.5667,143.2,245.43,97,86,0.74,RU,1731464117
